name,detail_url,age,abv,rating,votes,image_url,image_alt,name_zusatz
Jack Daniel‘s,https://www.whisky.com/whisky-database/details/jack-daniels-single-barrel-mit-nosingglas-45-07l.html,,45 % vol,3.3,221,./Bottle Search - Whisky.com_files/csm_1596474915_image_JACKDSIBG_1_ec06ac6632.jpg,Jack Daniel‘s Single Barrel mit Nosingglas,Single Barrel mit Nosingglas
Jack Daniel‘s,https://www.whisky.com/whisky-database/details/jack-daniels-single-barrel-mit-tumbler.html,,45 % vol,3.3,221,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQEAYABgAAD/2wBDAA0JCgsKCA0LCgsODg0PEyAVExISEyccHhcgLikxMC4pLSwzOko+MzZGNywtQFdBRkxOUlNSMj5aYVpQYEpRUk//2wBDAQ4ODhMREyYVFSZPNS01T09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT0//wAARCACEAHgDASIAAhEBAxEB/8QAHAAAAQUBAQEAAAAAAAAAAAAAAAECBAUGBwMI/8QARxAAAQMCAwQGBgUJBgcAAAAAAQACAwQRBRIhBjFBUQcTImFxkRQygaHB0TZ0sbLSFRcjJDNCUpLCFlRyk+HwQ1Nkc4Li8f/EABcBAQEBAQAAAAAAAAAAAAAAAAABAgP/xAAcEQEBAQACAwEAAAAAAAAAAAAAARECQRIhMVH/2gAMAwEAAhEDEQA/AOnIQomKYlSYTh8tdXSdXBHbMQLnU2At4lBLQsr+cHZ3hVP/AJR80h6Qdn/7w73fNBq0LJHpDwDhO7yTT0i4FwlKDXoWNPSPgY/4h9/yTT0k4JwcT7HfhQbRCxJ6S8G4B59jvwr1PSRgA3yyf5b/AJINihYmXpLwUD9EJHniMrh/So56T8Oa4E0srmDeGg3t3XsEG+QvKlqIqukhqoHZopmNkYbWu0i4XqgEIQgFmekYD+xNeTwMRH+a1aZZvpDbm2IxEd0Z8pGoOJP9V3gVoJDI3GJKgl4pZKMBkmuQnqWjQ7r5rjxVDJo4havZ+lpK3CKOWWnzSwyvp25pCGuFy43A/wC4PJS3FjOB0voU7c0mfrGEDMbkdq/wUaWR8jm55HOc1gHaJNhyWqmwqmEVmRgXf2SZXHW3vCylRY1k5bGyMZyMrNw8O5SXSzDboukSrSFSDKXWcf3h5WQkDg11+IcD7kA22lv4RfxSu9R3gUjbaW4NF0rvVd4FB9A7N/RrCvqcP3ArJV2zv0bwv6nF9wKxQCEIQCz+3jc2xmJjlED5OBWgVLti3Psjio/6V58hdBwuoFpneK1Wy1TDS4RE+Z5Z+uvPquOmVh0sFFGHU1NZ07etncwZg8AtYd5AHPhcqYxwgo44Gt/Rtf1oBPqucQNOAFiFm2X01ONOfi1PIMkTszhILh02u7kVjZf28xsRd5IB5XKupKmRrp2jqXNBLmjqwLWty3qsr2AVTy2+Vw7NzwBLfgkmFRkqELTITHesU9JYZjmDrcwgRm8+CcfVd4FI0AE2BA70p9V3gUH0Fs79G8L+pxfcCsVXbO/RvC/qcX3ArFAIQhAKo2qqIoNnqsStDhMzqg08S7T7Ln2K3VFthhsuIYK91OJHT095GRs16zTUW523d6l+LPrllVPnmc4u1v8A/U2WvgDKVkuZ9oSZCWWLdTYDmNBr3qHUh7C4S54nW0D4yLrwqZhIGkG7y0NIc0aAcliR3uCWoLjK57A17j2Rl0txuvGd3WVDrbgzsjkLk/EoM2eUue4OBOosALd3JJLIOsztcO1qW5bAeFuCvtiydI+t9d6Vehs8XsmvblO+4K055hqVInZTyKqESO9V3gUtjbUJHeo7wKD6C2c+jWF/U4fuBWKrdm/o1hX1OH7gVkgEIQgFgdudrnUla7BKMvbIGgzvaNdRcNB4aak9/it8uP8ASPB1G2bpQO1NTxv9zm/0qVeMlvtl6rFJ6h1nyuDL6Mbe3+qj9c3n7lIp6a7xLc6i45MvfUk6Xtew9vBTGUlZNB10MZ6sAubI52jgGk2Gu/Q77ct6LLiq65vMpROLW1PsV1JhtTneaeeCeNpv2XZXW77HTd71DdE+QPjeH9YLZmDUjiCBx/3y1i+SGJIXAO1jcDZwDbgj4JjhY25L06qzywkOvbUcbi/xTJNZH+J+1VKa219d3hde0cY0kcAWXI7TCAT56pkWjj4KypmxyYXO8jNJAS4BwBbbS4589x4JbiSIbYMznFkjQDqLMK8Xx9lxzssQeat8kAaS2miADeGb8S8RTwmPL6PGCWm3af8AiVHa9nnBmzmGNdvbRwg2/wAAU9k0cjixru0BfKRYqswtw/I9CY7tYaaLKBrYZBzSwFxxeNuZzmiNzrE6A8/HVEWyEIQC5b0rQ5cboZx+/TFn8rv/AGXUlzzpYjBjwuXiHSt88p+CLHPw1zqfsgkPaGANvcnMeHkhzJJIImSMq3BoAazJ2dTw04p0F3Ujo2khwaXNINtQ7/UeabEC1vWdb1jLaZmyWHl7fNQessUBeySjpKuMDMc8bCDodPKzvJeTmS+luMscrTIC28jbE6a7v8O7uTnROt1eTKbG1o5Cd+p38ym0wDZJHdYXiOMm1iNdeft80DALVRB/dLR5AKLv15qWQRUyh28OIPiAobSMouRu5ot+HN0JU/DXZqWvZcfsrgHiq+4sbEKywKIS1NS13CncRrx3fEpUiVRtjkcxs2bq7HMW3uBa4tZWMZgYx7aehc9paA5shAubki/fY+5QwI2yR5WubeKPdJazg0ZtbL2M7H2fHK+xHB5B0B32bzsg6Js1O+fA6F+XJEYy1rCdWhpIA9ym4dd+KvebECN1u67h8llticTaG1GG9oiIGZpc/NlAAuLEAjW3tutVgw/WZ+6Nl/aXfJEW6EIVAsV0owZ8BppQNY6n3Fjvktqsr0jPYzZtuYtzuqY2xtI9Ym+nlc+xSrHJo5jTF0b2EOaSCbAkbrix7wlyfo88BY+L+G7mi/eAdPs8F7vjdLNM9kYaGOGbQDKCNBqO4pgaGtEhqn211ZkH9QWZa1eM/TLue60Y7RB1zOuD7Hnu1PJJnEN2RAyOcLPytuD7SCT/AL3L0M0EnZ9JqDzuYwPtXq+jqXUslQBWugjF3uaGuDR35XbldJJ2ZFTvax9XLdt2PfxFiTYXPnqo7p4spDJGtNrAmpcbd9rK72VqAMVpA8R+iTTx07+uAcXAm4aAeBNrrrowrDRuoKUeELfknHe05Z04D1p/vrf53fJWuycDq3aCOmjqWukkY7JcktzCx1HKwK7a2go2+rSwDwjb8l4V8IipxLT07XPikY/KwAEgOF/ddWssNhuOYG6WTr6qCne6wLZ6e7MwJBcLjS/ergYthxbYbQ4NltYC7R8Vh6vDMOixCqifidQ10cz2kejiw7R0vm1UR1HhrTl9NxB/e2mZ+JRW5qsawWmp5S3FsNdI8WPorG5nC4JHZG42VxsXiAxagqK8MDC+Yx5ADplHf4rl3oeHBt24hWtv/wAylZb22euldHUAg2Z7MgkbJO97XgWDhoLjyVGpQhCqBZ3bDZt+0dLTsiqzA+neXhpF2vJFteVufeVokIOUv6Ncdc0j0zDrOIJBc87v/BeX5rMZ4VuHebvwrraFMXXJPzW4yd9bh/m/8KkUvRrjtLJ1lPi1LC8ggmPMLgixG7ULqaEw1zfDejOeOeN1diMYZE5rm9Q05jYg7zu3d66QhCuJoQhCCBVYJhVY9z6rDqaV7tXOdGLnxKgnY7Zsm/5IpvYCPir1CCnh2W2fhN48Ho798Qd9qto42RRtjiY1jGizWtFgB3BOQgEIQgEIQgEIQgEIQgEIQgEIQgEIQgEIQgEIQg//2Q==",Jack Daniel‘s Single Barrel mit Tumbler,Single Barrel mit Tumbler
Ardmore,https://www.whisky.com/whisky-database/details/ardmore-legacy.html,,40 % vol,3.2,220,./Bottle Search - Whisky.com_files/csm_0_e8081c_ardmo00le_aw_b6b4a5bee4.jpg,Ardmore Legacy,Legacy
Ardmore,https://www.whisky.com/whisky-database/details/miniatur-ardmore-legacy.html,,40 % vol,3.2,220,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAA0JCgsKCA0LCgsODg0PEyAVExISEyccHhcgLikxMC4pLSwzOko+MzZGNywtQFdBRkxOUlNSMj5aYVpQYEpRUk//2wBDAQ4ODhMREyYVFSZPNS01T09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT0//wAARCADcADYDASIAAhEBAxEB/8QAGwABAAIDAQEAAAAAAAAAAAAAAAQGAgMFBwH/xAA2EAACAQMDAgIGCAcBAAAAAAAAAQIDBBEFEiExQRNRIjJhcYGhBgcVQpGxweEUFiM1UnJzgv/EABkBAQADAQEAAAAAAAAAAAAAAAABAgMEBf/EAB8RAQEAAwACAwEBAAAAAAAAAAABAgMRMUESIVEEE//aAAwDAQACEQMRAD8A9OAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAUP6wtWvtN1KxhY6hWoePBqcISi0ueJbeueX+BTv5s15+I1qVVeGuyjzzjy4PUtd+i+m67XpV7xVoVqUdsalKptePLHTuceH1aaJFybudRkpdU60f0iB1PoTc1rz6MW1zc3VS5rVHJznOWWnnGOi7YO+QdH02z0nT4WlhTdOjFt4cnJt55bbJwAAAAABhuzX246Rzn3v8AYzIVxf0be52T8R+ivVpuSzl91wunc0Q160nNx8O4WO/hN/Jc/IpdmM+rVpjb6dKH3ljhMyNVCvCvFuCkvZJYb9uOptLS98KgAJAjX9V0bOcoy2t4ju8svGSSQNb40uq8J4ceraXVeRGXeXiZ5Ved7cSnVqxqShTprEIRk1jy+JHoahezrqMrus/Y5vDZnO1hOG90amH1cK6a474cff8AgYU9NWd9Kld4X3lVikvjtPNmjZ7dX+mDdp2q3Ubyn41VzcXxn5r2l5KDCgqTc1QUZRTeZzlP8kkX5dDr/nwywlmTHblMr9AAOhkHP1zP2TWx19F/NHQIOtf2yo+OHHr/ALIi+CKfTr6iqFKVrcU9s4xbUpR3bsvLw10awuvY0r7S/jHc5oqbjh1MR3vhLHTHb8zfavwLeTr01KKnna3x1f6km3nQuU5UralsU1FN0+ufLL9xhrzlnPbfZrsts8NNs7l0biV7cyrSxiCjJ4XDzxhJe8vK6IptTLjUw/QUHFY6JeSxwi5R9VG2LGvoALICBrbxpVZt4xtef/SJ5z9ez9i3TWcqGVgiit75UZyjxzl+h0az34Prr05xzN1H6PTjEclZWr6lGO2rWrSTXpeJShPy7tL2mVLVb6pGDlNRbe1vYljzeMPK/YqssG+CcqDcIScZTUIyTk8LnhdOpdo+qvceT0p3t1WcYKT38tQhjPPfhe89ZTysonEy56AAWVCJqktthUk5KKTi3J9luRLPk4qcXF9GRZ2cIrbdpWTcacKy/wAo0XJP44wFQobuLPn/AIHXq2GY4ptP2PhL8CPHTaqfq0fjKRzXTn+1p85+IE6ijCVKlRqxqTjJRSoOPbq30SLHSWKUV5JEenZxS/qPPsjwiUba8PircugANFQAAAAAAAAAAf/Z",Ardmore Legacy,Legacy
Tullibardine,https://www.whisky.com/whisky-database/details/tullibardine-burgundy-finish.html,,43 % vol,3.8,218,./Bottle Search - Whisky.com_files/csm_0_44cc76_tulli00bu_aw_162745ef4c.jpg,Tullibardine 228 Burgundy Finish,228 Burgundy Finish
Tullibardine,https://www.whisky.com/whisky-database/details/miniatur-tullibardine-228-burgundy-finish.html,,43 % vol,3.8,218,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAA0JCgsKCA0LCgsODg0PEyAVExISEyccHhcgLikxMC4pLSwzOko+MzZGNywtQFdBRkxOUlNSMj5aYVpQYEpRUk//2wBDAQ4ODhMREyYVFSZPNS01T09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT0//wAARCADcADYDASIAAhEBAxEB/8QAGwABAAIDAQEAAAAAAAAAAAAAAAUHAQQGAwL/xAA1EAACAQMCAwYCCQUBAAAAAAAAAQIDBBEFIQYSMRMUIkFRgTJxBzZhc5GhsbLBFSNjotHi/8QAGQEBAAMBAQAAAAAAAAAAAAAAAAECAwQF/8QAIBEBAQEBAAIBBQEAAAAAAAAAAAECEQMxBBITIVFSof/aAAwDAQACEQMRAD8As4AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABwP0ga1q2k6tZw07UHRp1aTcqShF7pvfdef8HKQ424lxN/1R4j/hht+RZev8J6br1zTuLudzSrQjyKVGpy5WX1TTXmyIj9GWirmXfdSal1Tqw3/wBAJ/ha5uLzh2zubu47xXqwcpz5FHfL2wvTp7EsamlabbaRp1Kxs4yVGkny80st5eW2/mbYAAAAAABAa5qN/TuKENLhKrB5VWUKsFjfb4k8+ZHR1TW5Rk3Su1KKyoqpbpS98P8AQw38jGbytc+HWp12ANDSLypcWdNXSULnD5oOak+vqkk/ZG+bZ1NTsZ2cvKAAlAaeq1JwsZ8jcXJqOV5Jvf8ALJuEPxbUqUuGb6rRnKnVhBOE4vDi8rfJGu8vE59otPKlLwqMVhRwfFJrtI8yWMnG0eI9apUZ06tvTupUp9m6koNy5vRuLw3ujyjxjqCn4rezWHhpqX/TyL8Py2+47p5c8d7RnOnVWJeKEspryaOpKcp61q13rtrQuZyoQhXgp0aKcI45l8W7z7lxnd8Xx68cs1XN5tTV7AAHUxCD41+qWo/dr9yJwg+NPqlqP3a/ciL6TPasoXblSm1QhOMm/FGphZ949eh507rNZzp2kFLny8zi3LxJvpHq+V/jk0bFOpcunJTlFptqM3FL7Xg3LW2hOrBTpXOHnKlKe/z3/BGVkjaPepfVo3dOEoxpydaMsPmcniaectJeRdBQdsuXUorfCq+e+fF6l+IvmcZ7AAXUCI4sp9rwvqMM4/st5+W5LkXxNHm4b1GPrbz/AEI16qZ7VFb0Lbu8u1rWyqrPWFdPr6wynt9gpW1tObbu7PDe2e8y5fbC/P1Pd2Snby7JTby+i5svy8S6bZMUbB7ym67lHxRjjqsbZfzKcadYla0e+UOwqUsKos8lu6a3a83Jt++C7Cme729K7g0pQk5xklOay3lbpLf1LmLZV0AAsoEfrqT0W6jKM5RlDElD4sN4ePYkARZ2cJ+FZUtCuIUOayuMU5x2lVtYJyXllqayZp6LqUqibr0IN4y1R/8AZ3lfSaNSblDkhl5a7NNN+uOmTC0vbDnSx9lHH8mP29/1/kafXP04epotOhUp1LydxWcpJU6dKNOEZS6r4cyZZEc8q5uuNzTtdOt7eop4c6i6Sll4+RummM3Pu9V1roAC6oAAAAAAAAAAP//Z",Tullibardine 228 Burgundy Finish,228 Burgundy Finish
Dalmore,https://www.whisky.com/whisky-database/details/dalmore-the-twelve-2.html,12 Years,40 % vol,3.8,217,./Bottle Search - Whisky.com_files/csm_0_64189b_dalmo1200_cw_1899bed2d5.jpg,Dalmore,
Suntory,https://www.whisky.com/whisky-database/details/suntory-yamazaki-3.html,12 Years,43 % vol,4.3,216,./Bottle Search - Whisky.com_files/csm_0_b82d2f_suntoya12_w_32c8b85db9.jpg,Suntory Yamazaki,Yamazaki
Suntory,https://www.whisky.com/whisky-database/details/miniatur-suntory-yamazaki.html,12 Years,43 % vol,4.3,216,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQEASABIAAD/2wBDAA0JCgsKCA0LCgsODg0PEyAVExISEyccHhcgLikxMC4pLSwzOko+MzZGNywtQFdBRkxOUlNSMj5aYVpQYEpRUk//2wBDAQ4ODhMREyYVFSZPNS01T09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT0//wAARCAC7AHgDASIAAhEBAxEB/8QAGgABAAMBAQEAAAAAAAAAAAAAAAMEBQIBB//EADIQAQABAwMBBAgGAwEAAAAAAAABAgMRBBIhExQxQZEFFSIyM1FhgSNScbHR8CRCcpL/xAAZAQEBAQEBAQAAAAAAAAAAAAAAAgMBBAX/xAAoEQEAAgECAwgDAQAAAAAAAAAAAQIRAxIEITEiM0FRcZGh0TJhweH/2gAMAwEAAhEDEQA/APpwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAra/Vdj0/WmjdGYjE1Y7/qqetZ7TFnpxmZxjfGfLvRbUrWcTKorM9GoKvo/Wdts1XOnFGKppxu3LSomJjMJmMADoAAAAAAAAAAo+l7F7UaPZY5q3xM8xHDN7Dq/WMX501eyJzjdGP3bWrqrp09XSqppr7qZqpzEfrGY/dU6ms7Xt6ml2d3w6s483k1raUX7U8+TWm7HJ76G0t7S6aui/GJqrmqIznENBDpJrnT09WuK6/GqmnbHlmUz0aWNkbeiLZzzAFpAAAAAAAAAR6icWp+vCL22Vm3k7EZnCtqb9NU4j3YnzVouVboqjOcldVce7snnumccOd92Ixsomf8AuIfH1tHVvfdM/E/T1UxELemvRTOP9ap8pXWTTXVNURtjE9/tx8/k0rE5tR9OHt4SbU7Fufv/AFjqRHVIA9zIAAAAAAAARan4X3SodV8L7seI7q3oqvWFTp0RY6929atUZxM10xiOcRzMuuhbiZ/Hs8TifZj+Xn4N3SzptRYm7RNWZpxExPtZjxQervRWYn1XRG3iI2REeWXcQ0rtxzmfZYqsxTam7Rct1xE49mn64nnK1p/cmPqqx0bOkp02n082bcTG2mIiIjnPzW7PdJERvif0iyQBqgAAAAAAAARan4f3SotT8P7seI7q3oqvVn126LsYuURVET4o+x6Xn/HtcxifZ74/sQ7uXNm3btrma9tdOds00/PnifDh1vo/PR/6gW8t2rdrMW6KaImczEeMtK1HE/3wZM3rnaqbdFiKrc7c3erTx359nv4482ta92Xa/kmzsBqgAAAAAAAAQ6ri190zi7bpu0ba6YqjOcT3M9Ws3pNY8Xazicsu5TMzNVF6YqzHE1zt8nEW7uI/Gpnj89X8NXZPjTT5venPhEebCK63jMe0/a90eTNt0zmnfczVEziIrnH3y0tPVFdvMZxnxiY/c21d22Mfq7pjEYa0raJzafj/AGUzOXoDZIAAAAAAAAAAAAAAAAAAAD//2Q==",Suntory Yamazaki,Yamazaki
Chivas Regal,https://www.whisky.com/whisky-database/details/chivas-regal.html,12 Years,40 % vol,2.6,216,./Bottle Search - Whisky.com_files/csm_chivas-12-years-1l_3fa4887a20.jpg,Chivas Regal,
Craigellachie,https://www.whisky.com/whisky-database/details/craigellachie-26.html,13 Years,46 % vol,4.0,214,./Bottle Search - Whisky.com_files/csm_0_e7f6ae_Craigellachie_13_4d2adf6c99.jpg,Craigellachie,
Aberlour,https://www.whisky.com/whisky-database/details/aberlour-select-cask-reserve-15.html,15 Years,43 % vol,4.0,212,./Bottle Search - Whisky.com_files/csm_0_1295a5_aberl15cm_aw_28bc482fa5.jpg,Aberlour Select Cask Reserve,Select Cask Reserve
Benromach,https://www.whisky.com/whisky-database/details/benromach-neues-design-15y-43-07l.html,15 Years,43 % vol,4.4,211,./Bottle Search - Whisky.com_files/csm_1594365315_image_BROMA1502_1_bcecb3b3c6.jpg,Benromach - new Design 2020,- new Design 2020
Benromach,https://www.whisky.com/whisky-database/details/miniatur-benromach.html,15 Years,43 % vol,4.4,211,./Bottle Search - Whisky.com_files/csm_1606994118_image_MINIBRO15_1_3b29dd513e.jpg,Benromach,
The Singleton of Dufftown,https://www.whisky.com/whisky-database/details/the-singleton-of-dufftown-1.html,12 Years,40 % vol,2.9,211,./Bottle Search - Whisky.com_files/csm_0_e5f6db_dufft1200_aw_30bae8a79d.jpg,The Singleton of Dufftown,
Glenmorangie,https://www.whisky.com/whisky-database/details/glenmorangie-lasanta.html,12 Years,46 % vol,3.7,210,./Bottle Search - Whisky.com_files/csm_0_cc96ea_gmoralasa_w_80e3d42b44.jpg,Glenmorangie Lasanta,Lasanta
Glen Garioch,https://www.whisky.com/whisky-database/details/glen-garioch-sherry-cask.html,15 Years,53.7 % vol,4.7,207,./Bottle Search - Whisky.com_files/csm_0_48cc6a_ggari15sh_aw_8e715caf5e.jpg,Glen Garioch Sherry Cask,Sherry Cask
Glen Garioch,https://www.whisky.com/whisky-database/details/miniatur-glen-garioch-sherry-cask.html,15 Years,53.7 % vol,4.7,207,./Bottle Search - Whisky.com_files/csm_1626891317_image_MINIGGA15_1_0782c19d4b.jpg,Glen Garioch Sherry Cask,Sherry Cask
Talisker,https://www.whisky.com/whisky-database/details/talisker-storm-neues-design.html,,45.8 % vol,3.7,207,./Bottle Search - Whisky.com_files/csm_1623694518_image_TALIS0ST0D2_1_75c5e99aac.jpg,Talisker Storm - new Design,Storm - new Design
Bushmills,https://www.whisky.com/whisky-database/details/bushmills-three-woods-neues-design.html,16 Years,40 % vol,4.3,205,./Bottle Search - Whisky.com_files/csm_1636020919_image_BUSHM1600_D2_1_2c9cdf634a.jpg,Bushmills Three Woods - new Design,Three Woods - new Design
Bushmills,https://www.whisky.com/whisky-database/details/miniatur-bushmills-three-woods.html,16 Years,40 % vol,4.3,205,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQEAYABgAAD/2wBDAA0JCgsKCA0LCgsODg0PEyAVExISEyccHhcgLikxMC4pLSwzOko+MzZGNywtQFdBRkxOUlNSMj5aYVpQYEpRUk//2wBDAQ4ODhMREyYVFSZPNS01T09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT0//wAARCAC7AHgDASIAAhEBAxEB/8QAGwABAQACAwEAAAAAAAAAAAAAAAUEBgECAwf/xAA4EAACAQMBBQUFBgYDAAAAAAAAAQIDBBESBQYTITEUIkFRYXGBobHRFSNCYpHBMjRSc4KSosLS/8QAGQEBAAMBAQAAAAAAAAAAAAAAAAECAwQF/8QAJhEBAQACAQEGBwAAAAAAAAAAAAECEQMSBCExMoHBM0FCUZGx8P/aAAwDAQACEQMRAD8A+nAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAADW979pXuz+xK0vIWsKspKpNxi3yxjGp48ydRv8AaVSScdrXE1w29ao0sfT4lMuSY3S0xtm26ghbqbQvNoWVed7OM3TrOEXhJ4SXXHIulpdzaLNAAJQAAAAAAAAAAAAANZ3x2VLaHZK3FpQhRcl95S4nN+mV5Emlsu6paXC7tMpY5WaWEbTt+SjYxcpxhHiLMpNJLk/FkVXdoo6u2WuPPtEPqUuONvetLdM/dLZ9Sws6+urTqRrVdcdENGOWHyLxg7Gaez46ZKSy8NPOTOLSSTuRQAEoAAAAAAAAAAAAMPal1O1tvuscWo9MM+ZGWXTN1Mm7pN3oqxqUIW0XGU09c49cLDSz+viah2WGvHAoY/tx+hauKV5VWiVa3hDOZRjN96Xi28Zk/aeH2dXazxaH+7+h4nacebl5OqYvR4bhhjrbYt3aihaO0qYjVg3JR/qi+jXmiwaZRtr+io6KtKUYPVGPEfdf5Xjl8vPJsuyL77QsVWa70ZOMuWMteJ6PZuTLU485q6cnNhN3LG7ZwAOtgAAAAAAAAAAAQN5kuPs6bi241sLvcllxXTxeG16ZZfJO3FmpbZ8FJ/GJnyeXS2HinSpJvno5Ntdz19pxwI/l5flf19DiurrjR7PKiqWO9rXezqXT/HPvPNRv9XeqW2PLQ3nlH9Oer4E3HG/JeWvaNKMWnld1Pnp9vqeu5in2G6c2s8f+Ffh7q/bB4UOOqTVy6bnp6w6Pu8/jkyN0WnTvsdOLB+/hQMrJOXHX2vstu9F9GwgA6GAAAAAAAAAAABH29JxnbY8W1+solgjbwLM7X0bf/KJny+X8ftfDzMXxZwc823hZOpZLn8MvY/kd9zo4tLuT6zuG/cko/sdOeH16PwMjdaOmyqLzm38WZZfFx9fZb6L6LgAN2IAAAAAAAAAABI26+/beuV8Ylcl7a2fK9naVI6nwKmrEfHp9Cmctx7lsbqotecasKlGcKiUsxzGM0/anp9DvxpPnwpv1UJv/AKnvUtbmaXE2RXqYbwnOk/nI6dirN89h1emObo/+x1T+lW1WO6UZ3UaslXUsp41TUcxTxlNY8feVt2f5Oa8nj5mPCzuacVGns6pCDfSM6fLPX8Rm7C2dPZ1GvGbb4lTVFSxlLCXPBTXVnLPCbTdTGyqgANmQAAAAAAAAAAAAAAAAAAAAAAAAAAP/2Q==",Bushmills Three Woods,Three Woods
Aberlour,https://www.whisky.com/whisky-database/details/aberlour-double-cask-ab16-1-19-16y-43-07l.html,16 Years,43 % vol,4.4,204,./Bottle Search - Whisky.com_files/csm_1571678110_image_ABERL16DC_1_363b21b8cf.jpg,Aberlour Double Cask  AB16-1-19,Double Cask AB16-1-19
